before_tnumber_tnumber	proven
before_tspatial_stbox	proven
before_tspatial_tspatial	proven
before_tstzspan_temporal	proven
below_stbox_stbox	proven
below_stbox_tspatial	proven
below_tspatial_stbox	proven
below_tspatial_tspatial	proven
bigint_extent_transfn	proven
bigint_to_set	proven
bigint_to_span	proven
bigint_to_spanset	proven
bigint_union_transfn	proven
bigintset_end_value	proven
bigintset_shift_scale	proven
bigintset_start_value	proven
bigintspan_lower	proven
bigintspan_shift_scale	proven
bigintspan_upper	proven
bigintspan_width	proven
bigintspanset_lower	proven
bigintspanset_shift_scale	proven
bigintspanset_upper	proven
bigintspanset_width	proven
cbuffer_cmp	proven
cbuffer_eq	proven
cbuffer_ge	proven
cbuffer_gt	proven
cbuffer_le	proven
cbuffer_lt	proven
cbuffer_ne	proven
cbuffer_nsame	proven
cbuffer_same	proven
contained_bigint_set	proven
contained_bigint_span	proven
contained_bigint_spanset	proven
contained_date_set	proven
contained_date_span	proven
contained_date_spanset	proven
contained_float_set	proven
contained_float_span	proven
contained_float_spanset	proven
contained_int_set	proven
contained_int_span	proven
contained_int_spanset	proven
contained_set_set	proven
contained_span_span	proven
contained_span_spanset	proven
contained_spanset_span	proven
contained_spanset_spanset	proven
contained_stbox_stbox	proven
contained_stbox_tspatial	proven
contained_tbox_tbox	proven
contained_tbox_tnumber	proven
contained_temporal_temporal	proven
contained_timestamptz_set	proven
contained_timestamptz_span	proven
contained_timestamptz_spanset	proven
contained_tnumber_tbox	proven
contained_tnumber_tnumber	proven
contained_tspatial_stbox	proven
contained_tspatial_tspatial	proven
contains_cbuffer_cbuffer	proven
contains_set_bigint	proven
contains_set_date	proven
contains_set_float	proven
contains_set_int	proven
contains_set_set	proven
contains_set_timestamptz	proven
contains_span_bigint	proven
contains_span_date	proven
contains_span_float	proven
contains_span_int	proven
contains_span_span	proven
contains_span_spanset	proven
contains_span_timestamptz	proven
contains_spanset_bigint	proven
contains_spanset_date	proven
contains_spanset_float	proven
contains_spanset_int	proven
contains_spanset_span	proven
contains_spanset_spanset	proven
contains_spanset_timestamptz	proven
contains_stbox_stbox	proven
contains_stbox_tspatial	proven
contains_tbox_tbox	proven
contains_tbox_tnumber	proven
contains_temporal_temporal	proven
contains_tnumber_tbox	proven
contains_tnumber_tnumber	proven
contains_tspatial_stbox	proven
contains_tspatial_tspatial	proven
covers_cbuffer_cbuffer	proven
date_to_set	proven
date_to_span	proven
date_to_spanset	proven
dateset_end_value	proven
dateset_start_value	proven
datespan_lower	proven
datespan_upper	proven
datespanset_end_date	proven
datespanset_num_dates	proven
datespanset_start_date	proven
disjoint_cbuffer_cbuffer	proven
distance_bigintset_bigintset	proven
distance_bigintspan_bigintspan	proven
distance_bigintspanset_bigintspan	proven
distance_bigintspanset_bigintspanset	proven
distance_cbuffer_cbuffer	proven
distance_dateset_dateset	proven
distance_datespan_datespan	proven
distance_datespanset_datespan	proven
distance_datespanset_datespanset	proven
distance_floatset_floatset	proven
distance_floatspan_floatspan	proven
distance_floatspanset_floatspan	proven
distance_floatspanset_floatspanset	proven
distance_intset_intset	proven
distance_intspan_intspan	proven
distance_intspanset_intspan	proven
distance_intspanset_intspanset	proven
distance_pose_pose	proven
distance_set_bigint	proven
distance_set_date	proven
distance_set_float	proven
distance_set_int	proven
distance_set_timestamptz	proven
distance_span_bigint	proven
distance_span_date	proven
distance_span_float	proven
distance_span_int	proven
distance_span_timestamptz	proven
distance_spanset_bigint	proven
distance_spanset_date	proven
distance_spanset_float	proven
distance_spanset_int	proven
distance_spanset_timestamptz	proven
distance_tstzset_tstzset	proven
distance_tstzspan_tstzspan	proven
distance_tstzspanset_tstzspan	proven
distance_tstzspanset_tstzspanset	proven
div_float_tfloat	proven
div_int_tint	proven
div_tfloat_float	proven
div_tint_int	proven
div_tnumber_tnumber	proven
econtains_cbuffer_tcbuffer	proven
econtains_geo_tgeo	proven
econtains_tcbuffer_cbuffer	proven
econtains_tcbuffer_geo	proven
econtains_tgeo_geo	proven
econtains_tgeo_tgeo	proven
ecovers_cbuffer_tcbuffer	proven
ecovers_geo_tgeo	proven
ecovers_tcbuffer_cbuffer	proven
ecovers_tcbuffer_geo	proven
ecovers_tcbuffer_tcbuffer	proven
ecovers_tgeo_geo	proven
ecovers_tgeo_tgeo	proven
edisjoint_tcbuffer_cbuffer	proven
edisjoint_tcbuffer_geo	proven
edisjoint_tgeo_geo	proven
edisjoint_tgeo_tgeo	proven
edwithin_tcbuffer_cbuffer	proven
edwithin_tcbuffer_geo	proven
edwithin_tcbuffer_tcbuffer	proven
edwithin_tgeo_geo	proven
edwithin_tgeo_tgeo	proven
eintersects_tcbuffer_cbuffer	proven
eintersects_tcbuffer_geo	proven
eintersects_tcbuffer_tcbuffer	proven
eintersects_tgeo_geo	proven
eintersects_tgeo_tgeo	proven
etouches_tcbuffer_cbuffer	proven
etouches_tcbuffer_geo	proven
etouches_tcbuffer_tcbuffer	proven
etouches_tgeo_geo	proven
etouches_tgeo_tgeo	proven
etouches_tpoint_geo	proven
ever_eq_bool_tbool	proven
ever_eq_cbuffer_tcbuffer	proven
ever_eq_float_tfloat	proven
ever_eq_geo_tgeo	proven
ever_eq_int_tint	proven
ever_eq_npoint_tnpoint	proven
ever_eq_pose_tpose	proven
ever_eq_tbool_bool	proven
ever_eq_tcbuffer_cbuffer	proven
ever_eq_tcbuffer_tcbuffer	proven
ever_eq_temporal_temporal	proven
ever_eq_text_ttext	proven
ever_eq_tfloat_float	proven
ever_eq_tgeo_geo	proven
ever_eq_tgeo_tgeo	proven
ever_eq_tint_int	proven
ever_eq_tnpoint_npoint	proven
ever_eq_tnpoint_tnpoint	proven
ever_eq_tpose_pose	proven
ever_eq_tpose_tpose	proven
ever_eq_ttext_text	proven
ever_ge_float_tfloat	proven
ever_ge_int_tint	proven
ever_ge_temporal_temporal	proven
ever_ge_text_ttext	proven
ever_ge_tfloat_float	proven
ever_ge_tint_int	proven
ever_ge_ttext_text	proven
ever_gt_float_tfloat	proven
ever_gt_int_tint	proven
ever_gt_temporal_temporal	proven
ever_gt_text_ttext	proven
ever_gt_tfloat_float	proven
ever_gt_tint_int	proven
ever_gt_ttext_text	proven
ever_le_float_tfloat	proven
ever_le_int_tint	proven
ever_le_temporal_temporal	proven
ever_le_text_ttext	proven
ever_le_tfloat_float	proven
ever_le_tint_int	proven
ever_le_ttext_text	proven
ever_lt_float_tfloat	proven
ever_lt_int_tint	proven
ever_lt_temporal_temporal	proven
ever_lt_text_ttext	proven
ever_lt_tfloat_float	proven
ever_lt_tint_int	proven
ever_lt_ttext_text	proven
ever_ne_bool_tbool	proven
ever_ne_cbuffer_tcbuffer	proven
ever_ne_float_tfloat	proven
ever_ne_geo_tgeo	proven
ever_ne_int_tint	proven
ever_ne_npoint_tnpoint	proven
ever_ne_pose_tpose	proven
ever_ne_tbool_bool	proven
ever_ne_tcbuffer_cbuffer	proven
ever_ne_tcbuffer_tcbuffer	proven
ever_ne_temporal_temporal	proven
ever_ne_text_ttext	proven
ever_ne_tfloat_float	proven
ever_ne_tgeo_geo	proven
ever_ne_tgeo_tgeo	proven
ever_ne_tint_int	proven
ever_ne_tnpoint_npoint	proven
ever_ne_tnpoint_tnpoint	proven
ever_ne_tpose_pose	proven
ever_ne_tpose_tpose	proven
ever_ne_ttext_text	proven
float_extent_transfn	proven
float_to_set	proven
float_to_span	proven
float_to_spanset	proven
float_union_transfn	proven
floatset_end_value	proven
floatset_shift_scale	proven
floatset_start_value	proven
floatspan_lower	proven
floatspan_shift_scale	proven
floatspan_upper	proven
floatspan_width	proven
floatspanset_lower	proven
floatspanset_shift_scale	proven
floatspanset_upper	proven
floatspanset_width	proven
front_stbox_stbox	proven
front_stbox_tspatial	wired
front_tspatial_stbox	wired
front_tspatial_tspatial	wired
geog_dwithin	wired
geom_to_geog	wired
int_extent_transfn	proven
int_to_set	proven
int_to_span	proven
int_to_spanset	proven
